"Source:"	"E:\msx\vhd_if_c9d_cartversion\vhd_if_c9d.sch"
"Date:"	"30.1.2023 19:45:37"
"Tool:"	"Eeschema (5.1.5)-3"
"Component Count:"	"58"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R2"	"220R"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R6"	"220R"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R8"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R9"	"220R"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R11"	"220R"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R14"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R15"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R16"	"47K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R17"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R18"	"2K2"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R19"	"1M"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R20"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R23"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"R24"	"10K"	"agg-kicad:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"	""	""
"RN1"	"8x10K"	"Device:R_Network08"	"Resistor_THT:R_Array_SIP9"	"8 resistor network, star topology, bussed resistors, small symbol"	""
"RN2"	"8x4K7"	"Device:R_Network08"	"Resistor_THT:R_Array_SIP9"	"8 resistor network, star topology, bussed resistors, small symbol"	""
"Y1"	"6Mhz"	"Device:Crystal"	"Crystal:Crystal_HC18-U_Vertical"	"Two pin crystal"	""
